Unnamed: 0,tweet_id,user_id,created_at,tweet,username,name,location,tweet_type,replied_to_id
0,1506031517923000326,192608384,2022-03-21T22:14:29.000Z,@VodafoneUK #DreamHoliday making friends with a bear in Hawaii!,diane_83,Diane,"Berks, UK",replied_to,1503778049203924994
1,1506028592765050885,569314174,2022-03-21T22:02:51.000Z,@BromleyCommuter @VodafoneUK We now have a new proposal from a different party which we are exploring and I'm reliably informed this could be live later this year.,Ker_Anderson,Ker Anderson,"Thatcham, England",replied_to,1506028175729610755
3,1506015452879007746,332773970,2022-03-21T21:10:39.000Z,"@VodafoneUK this is not working, no one is responding via DM and your online chat person has just hung up on her. We need help quickly, her other accounts have now been compromised and she needs her phone number back to recover them",JimmyOKeefe,Jimbo🚴👨‍👩‍👧‍👦💡,,replied_to,1506003556989558789
4,1506003741362860035,1099514911,2022-03-21T20:24:06.000Z,@VodafoneUK @Ker_Anderson Same thing you get apologies every few days but no fix … I guess sending a SMS is cheaper then sending out an engineer … this is simple just tell us a fix date why is this in the hard box. https://t.co/bQq1uEMYbp,BromleyCommuter,MarkL,Bromley,quoted,1506002984580362240
5,1506003482607763461,772298196,2022-03-21T20:23:05.000Z,@PaulinKuranchie @VodafoneUK OK. I'm glad it's not just us.,louisekwarteng,louiseowusu,,replied_to,1506001023785226243
6,1506003392568741890,772298196,2022-03-21T20:22:43.000Z,@VodafoneUK Hi. I've just checked it and it seems to say it's OK. But my connection kept cutting out. On Saturday I tried to send a WhatsApp message to my friend and it took a while to get it. She had the same problem.,louisekwarteng,louiseowusu,,replied_to,1505999915033542663
7,1506002298635538440,1363597381254721539,2022-03-21T20:18:22.000Z,@VodafoneUK Hunt for a lost City in Costa Rica 🇨🇷 #DreamHoliday #VeryMeRewards https://t.co/hBEBwhRyhy,RAWsummits,SummitSam,,replied_to,1503778049203924994
9,1505994019851186184,1099514911,2022-03-21T19:45:29.000Z,@VodafoneUK @VodafoneUK @Ker_Anderson … just give us all publicly a fix date https://t.co/YCnGuxDQ1D,BromleyCommuter,MarkL,Bromley,replied_to,1505993226121056259
12,1505989407916138512,1099514911,2022-03-21T19:27:09.000Z,@VodafoneUK @Ker_Anderson … nearly a month later still no data service at London Bridge the best we get you is you know there is an issue clearly no one senior at Vodafone uses London Bridge station https://t.co/w2U1ChARra,BromleyCommuter,MarkL,Bromley,replied_to,1497264134743810053
13,1505985460690161667,556018303,2022-03-21T19:11:28.000Z,@VodafoneUK I’m so happy when you’re here,NikkiAitchison,Nikki Aitchison,"Neston, Cheshire, England",replied_to,1505484294088642563
14,1505978239461822470,42745358,2022-03-21T18:42:46.000Z,@VodafoneUK OK! What times are helplines open till please?,uniiskillingme,Mother Hannah,"England, United Kingdom",replied_to,1505977090813927428
15,1505974940784336905,42745358,2022-03-21T18:29:40.000Z,@VodafoneUK Hello! I have a tablet contract that ran out in November &amp; has been carried on monthly. I would like to cancel it now but I can't get through to anyone when I call :( could this be done online? Thanks!,uniiskillingme,Mother Hannah,"England, United Kingdom",Original_tweet,Null
16,1505964729814196231,368256015,2022-03-21T17:49:05.000Z,@VodafoneUK I am fan of Red Bull,WheelerAw,Andrew Wheeler,"ÜT: 52.046677,-0.787004",replied_to,1505951503705649154
17,1505958658361937921,2723841,2022-03-21T17:24:58.000Z,@VodafoneUK I’m so happy when I get back to work I will have to see you soon thanks for letting me know thanks for letting me help you with my work computer and I will do it soon as I can get it done,FlyingScotsManJ,The Flying Scotsman 🏴󠁧󠁢󠁳󠁣󠁴󠁿,"Aberdeen, Scotland",replied_to,1505484294088642563
18,1505948748043759619,865478035780157442,2022-03-21T16:45:35.000Z,@VodafoneUK when is your network problem going to be sorted out?! I've not a phone to use since 9am this morning!!,Yasminakhtar25,Yasmin🌸,,Original_tweet,Null
