,tweet_id,user_id,created_at,tweet,username,name,location,clean_text
1,1505590191741939714,20637713,2022-03-20T17:00:48.000Z,@VodafoneUK I’m so happy when you are in the sun and you are keeping me safe 😂! Loving #InternationalDayOfHappiness what with being a smiler and all that it’s right up my street 😃,smiliesarah,Smilie Sarah 😁,Chelmsford ..... Essex.....,happy sun keeping safe loving internationaldayofhappiness smiler right street
4,1505587149277700103,3167273529,2022-03-20T16:48:43.000Z,@VodafoneUK #DreamHoliday I'd be wrestling an Aardvark in Costa Rica!,suedamant,Sue Damant,"England, United Kingdom",dreamholiday wrestling aardvark costa rica
7,1505581486044594181,17646802,2022-03-20T16:26:13.000Z,@VodafoneUK here we go again then……are you illiterate? Can your team not read the supposed notes captured from the last 5 months of messages and calls I’ve had to make to you. Repeatedly. Sort this out now!!!!!!! https://t.co/YrKjWj1qBs,Rhianne82,Rhianne Lewis,"iPhone: 51.710171,-3.435433",thenare illiterate team read supposed notes captured months messages calls you repeatedly sort now
8,1505581397288833026,363146204,2022-03-20T16:25:52.000Z,@VodafoneUK I’m so happy when I get a signal with Vodafone!,mrstoritorres,Victoria Torrance,West Lothian,happy signal vodafone
9,1505580472419721217,979411542616788992,2022-03-20T16:22:11.000Z,"@VodafoneUK #VodaphoneTreats
I'm so happy when I have seen the last few months of winter go and the sun comes out.",stellacroner,StellaFeighan,"South East, England",vodaphonetreats happy seen months winter sun comes out
10,1505579032460603394,163061010,2022-03-20T16:16:28.000Z,@VodafoneUK I’m so happy when we are home safe love love this love love it baby baby I’m happy for Christmas #VodafoneTreats,operationboyler,dean boyle,North east uk,happy home safe love love love love baby baby happy christmas vodafonetreats
11,1505578951938387976,164633252,2022-03-20T16:16:09.000Z,@VodafoneUK I’m so happy when you call,one_philrogers,Philip Rogers,"West Midlands, England",happy
12,1505578847131086853,34895373,2022-03-20T16:15:44.000Z,@Eddystone506 @VodafoneUK Must be a Tory MP doing one of their second jobs 😉,rach0907,Rachel ❤️🇺🇦🌻 Slava Ukraini,UK,tory mp second jobs
15,1505574177121656841,242695970,2022-03-20T15:57:10.000Z,@VodafoneUK “I’m so happy when you’re here and you have no idea what you’re doing with your life.” I could go on. I think it could get dark. #VodafoneTreats  #InternationalDayOfHappiness,BigGrumpyHaggis,Dave 🏴󠁧󠁢󠁳󠁣󠁴󠁿,Scotland,i happy idea life on think dark vodafonetreats internationaldayofhappiness
16,1505573716981428225,31425049,2022-03-20T15:55:20.000Z,@VodafoneUK #InternationalDayOfHappiness I’m so happy when I have time for my family,catbyrne_,Catriona Welch,"Edinburgh, Scotland",internationaldayofhappiness happy time family
17,1505571688179765254,19645453,2022-03-20T15:47:17.000Z,@VodafoneUK I'm so happy when I get a chance to look at the moment I am not sure if you have any questions,CyberMaxpower,/\/\477 🏴󠁧󠁢󠁥󠁮󠁧󠁿,the universe milkyway galaxy ,happy chance look moment sure questions
18,1505571607028379653,17450919,2022-03-20T15:46:57.000Z,"@VodafoneUK I'm so happy when I have a feeling we're end of the world

Oh. #VodafoneTreats",LauraCow,Laura (A4719184),"Shrewsbury, England",happy feeling end world oh vodafonetreats
19,1505571530486472714,37005779,2022-03-20T15:46:39.000Z,@VodafoneUK I'm so happy when Parmesan has a hat on #VodafoneTreats #InternationalDayOfHappiness https://t.co/XYjhFbZkV8,Aceso84,Daisybeebee 💙,Surrounded by books & flowers,happy parmesan hat vodafonetreats internationaldayofhappiness
