tweet_id,user_id,created_at,tweet,username,name,location
1505569241772457987,41894658,2022-03-20T15:37:34.000Z,"@VodafoneUK I'm so happy when i eat your birthday cake 🎂😂

#InternationalDayOfHappiness",staceyhillx,Staceyhillx,england 
1505566510592442375,196774724,2022-03-20T15:26:42.000Z,@VodafoneUK please check your direct messages,StevenGradidge,Steven Gradidge,
1505563701851693063,41199281,2022-03-20T15:15:33.000Z,@VodafoneUK I’m so happy when you’re in the sun ☀️ #InternationalDayOfHappiness,TaylaCourtice,Tayla Courtice,United Kingdom
1505562815830106114,370399238,2022-03-20T15:12:01.000Z,@VodafoneUK I'm so happy when I have a lovely day and I love you so much for the birthday wishes (lol its was my birthday the other day) #VodafoneTreats,tinkertink2010,💗DANIELLE V💗,NORTH WEST
1505561938348191750,1401928608768212992,2022-03-20T15:08:32.000Z,@VodafoneUK I am so happy when Vodafone get my bill rong and I have to pay the full amount by the end of the month 😂,JohnBro72984163,John Brooke,
1505559833637961733,153391583,2022-03-20T15:00:10.000Z,@VodafoneUK I'm so happy when you get a follow back on my way home from work.,Kodanshi,𓂓𓈙‎𓆑𓀀,𝚂𝚊𝚟𝚎 𝚆𝚊𝚛𝚙
1505557108313542662,618950810,2022-03-20T14:49:21.000Z,"@VodafoneUK I'm so happy when I get a chance to win #VodafoneTreats especially on the 
#InternationalDayOfHappiness 🙏😜",chinaheart7,Karen Louise ☮️🌻🇺🇦,
1505556377858723840,980773418583908353,2022-03-20T14:46:27.000Z,@VodafoneUK .... When I'm holding a cup of hot tea and sat outside #InternationalDayOfHappiness,Wizarding_about,Onion,"Wiltshire, South West England "
1505556016435539970,774640819835904000,2022-03-20T14:45:00.000Z,@VodafoneUK I'm so happy when you get home and you squat on my feet,Chunky_Lover__,jim guy,uranus
1505555748394311684,120476200,2022-03-20T14:43:56.000Z,@VodafoneUK Iam so happy-go-lucky when the sunshines 🌞 #VodafoneTreats,RedRoses4,Sherieann,#Norwich #Norfolk UK
