tweet_id,user_id,created_at,tweet,username,name,location
1.50559E+18,2815748087,2022-03-20T17:11:34.000Z,"@VodafoneUK I’m so happy when…when I give to animal charities..makes me feel Good to help

#InternationalDayOfHappiness",nansclutter,nansclutter,
1.50559E+18,20637713,2022-03-20T17:00:48.000Z,@VodafoneUK I’m so happy when you are in the sun and you are keeping me safe 😂! Loving #InternationalDayOfHappiness what with being a smiler and all that it’s right up my street 😃,smiliesarah,Smilie Sarah 😁,Chelmsford ..... Essex.....
1.50559E+18,150766223,2022-03-20T16:52:24.000Z,@VodafoneUK I get free stuff from Vodafone 🤣🤣🤣,Anobeithiol,Lee Price,
1.50559E+18,383169990,2022-03-20T16:49:58.000Z,@VodafoneUK #InternationalDayOfHappiness I’m so happy when I go visit my baby girl at uni,jennifer_toal,Jennifer Toal,
1.50559E+18,3167273529,2022-03-20T16:48:43.000Z,@VodafoneUK #DreamHoliday I'd be wrestling an Aardvark in Costa Rica!,suedamant,Sue Damant,"England, United Kingdom"
1.50558E+18,2398017625,2022-03-20T16:34:58.000Z,@VodafoneUK i'm so happy when i saw your face,snowtiger444,G,
1.50558E+18,1.49324E+18,2022-03-20T16:31:32.000Z,@VodafoneUK I’m so happy when you get to my house today please thank you all for my birthday gift #VodafoneTreats,bookaddictz99,Agnus,
1.50558E+18,17646802,2022-03-20T16:26:13.000Z,@VodafoneUK here we go again then……are you illiterate? Can your team not read the supposed notes captured from the last 5 months of messages and calls I’ve had to make to you. Repeatedly. Sort this out now!!!!!!! https://t.co/YrKjWj1qBs,Rhianne82,Rhianne Lewis,"iPhone: 51.710171,-3.435433"
1.50558E+18,363146204,2022-03-20T16:25:52.000Z,@VodafoneUK I’m so happy when I get a signal with Vodafone!,mrstoritorres,Victoria Torrance,West Lothian
1.50558E+18,9.79412E+17,2022-03-20T16:22:11.000Z,"@VodafoneUK #VodaphoneTreats
I'm so happy when I have seen the last few months of winter go and the sun comes out.",stellacroner,StellaFeighan,"South East, England"
1.50558E+18,163061010,2022-03-20T16:16:28.000Z,@VodafoneUK I’m so happy when we are home safe love love this love love it baby baby I’m happy for Christmas #VodafoneTreats,operationboyler,dean boyle,North east uk
1.50558E+18,164633252,2022-03-20T16:16:09.000Z,@VodafoneUK I’m so happy when you call,one_philrogers,Philip Rogers,"West Midlands, England"
