tweet_id,user_id,created_at,tweet,username,name,location,language,tweet_type,replied_to_id,get_repliedTo_tweet_link,get_tweet_link
1512947294169182214,1635952580,2022-04-10T00:15:18.000Z,"nets shittin its self once again, been a few days and some apps/sites just dont work at all without a VPN. Couldnt get through to 'Wifi Xperts' all day. Help @VodafoneUK https://t.co/cHMkA305tV",ActionManXVI,ActionMan⟠,Metaverse,en,Original_tweet,Null,null,https://twitter.com/1635952580/status/1512947294169182214
1512904497093349378,473787545,2022-04-09T21:25:15.000Z,@VodafoneUK My husband raising his game with a cheeeeesy pizza 🍕🥰 https://t.co/82f4ymqjAT,mummytomlinson,Jodie Tomlinson,"England, United Kingdom",en,replied_to,1509923560168505347,https://twitter.com/i/web/status/1509923560168505347,https://twitter.com/473787545/status/1512904497093349378
1512884759223017472,241518030,2022-04-09T20:06:49.000Z,Anyone else having issues with the shite that @VodafoneUK call broadband?  Every 3-5 minutes getting cut off from internet while trying to watch a film,meleemachin,Lee Machin,,en,Original_tweet,Null,null,https://twitter.com/241518030/status/1512884759223017472
1512809922702024714,20335914,2022-04-09T15:09:26.000Z,@rapidreviewsuk @VodafoneUK @SamsungMobile Noice mate. That's My next upgrade come October. Using the S21 Ultra now,XplosionCom,Craig @ Xplosion Gaming,"Stoke-on-Trent, England",en,replied_to,1512809431695867914,https://twitter.com/i/web/status/1512809431695867914,https://twitter.com/20335914/status/1512809922702024714
1512807495227482113,2333955555,2022-04-09T14:59:48.000Z,@VodafoneUK - is there a way of contacting your Vodafone disability.access@help.vodafone.co.uk? my student has been emailing them for over a yr and they are unbelievably ignorant and refuse to reply. Can you advise?,Alfonsiawarrior,Kim Johnson,"denton, manchester",en,Original_tweet,Null,null,https://twitter.com/2333955555/status/1512807495227482113
1512799802211414017,260689718,2022-04-09T14:29:13.000Z,@VodafoneUK some very good rewards lately on very me especially the latest one with YouTube premium free for 1 month 😊,DazzaIV,Darren,England,en,Original_tweet,Null,null,https://twitter.com/260689718/status/1512799802211414017
1512737795156160512,390402666,2022-04-09T10:22:50.000Z,@VodafoneUK lost my signal at home yesterday evening! Still nothing! Any issues in LL57???,alex_cropper,Alex Cropper,🏴󠁧󠁢󠁷󠁬󠁳󠁿 🇪🇺,en,Original_tweet,Null,null,https://twitter.com/390402666/status/1512737795156160512
1512726842637176834,1118969672454615041,2022-04-09T09:39:19.000Z,@VodafoneUK @TinaTheMusical https://t.co/3PsJ4yuKvh,JayDogUFC,UFCJayDog,United Kingdom,und,replied_to,1512726685304643587,https://twitter.com/i/web/status/1512726685304643587,https://twitter.com/1118969672454615041/status/1512726842637176834
1512724363178655744,16031661,2022-04-09T09:29:27.000Z,Join @VodafoneUK broadband And we’ll each be rewarded with a £25 Amazon Gift Card #Voucher #code #vodafonebroadband https://t.co/TuOA2DR01x,cadere_in,cadere in occidente,Terms and Conditions Apply,en,Original_tweet,Null,null,https://twitter.com/16031661/status/1512724363178655744
1512707926603055104,1118969672454615041,2022-04-09T08:24:09.000Z,This would be nice to win as @TinaTheMusical cancelled on us 2hrs before the show the last time we travelled to London. @VodafoneUK Wife would love the surprise. https://t.co/MJQTsX7BN8,JayDogUFC,UFCJayDog,United Kingdom,en,Original_tweet,Null,null,https://twitter.com/1118969672454615041/status/1512707926603055104
1512707897234538497,3226086627,2022-04-09T08:24:02.000Z,"Could @TalkTalk be acquired by @VodafoneUK or @SkyGroup? Is it just an expensive play for customer acquisition without any serious infrastructure to intregrate or support other business arms? #TalkTalk #Vodadone #Sky #Broadband #Acquisition
https://t.co/ktpyPrMbN0",GuylArnel,Guy Arnel,"Ascot, South East",en,Original_tweet,Null,null,https://twitter.com/3226086627/status/1512707897234538497
1512693128255389698,2563227022,2022-04-09T07:25:20.000Z,@VodafoneGroup @VodafoneUK have the worst customer service that I have ever had the misfortune of dealing with. Do NOT use @VodafoneUK,pete160682,Pete Roddy,Derry,en,Original_tweet,Null,null,https://twitter.com/2563227022/status/1512693128255389698
1512642425864736773,1366188324843450371,2022-04-09T04:03:52.000Z,"@ViCustomerCare I have been to the nearest  Vi store, they are saying it is inactive for last 5 years. Till yesterday it was working. I was receiving call. How come.@vodafone_es @VodafoneGroup  @PMOIndia @Vodacom @VodafoneUK  @narendramodi @vodafoneNL",AshuBagri14,Ashu Bagri in to the stock and share job in India,"Mumbai, India",en,replied_to,1512641060421476352,https://twitter.com/i/web/status/1512641060421476352,https://twitter.com/1366188324843450371/status/1512642425864736773
1512570046723379203,1017330656332967936,2022-04-08T23:16:15.000Z,"@VodafoneUK @vuecinemas Magnificent 7
Snow White and the seven dwarfs  #verymerewards
Happy Easter 🐣 https://t.co/3KXwMDS5hP",Mummy_of_7_Kids,Mummy 🌟 of 🌟 7 🌟 Kids,"North West, England ",en,replied_to,1512115739158880257,https://twitter.com/i/web/status/1512115739158880257,https://twitter.com/1017330656332967936/status/1512570046723379203
